age,attrition,department,education,gender,job_role,job_satisfaction,isMarried,monthly_income,NumCompaniesWorked,OverTime,StandardHours,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Sales,2,Female,Sales Executive,4,Single,5993,8,Yes,80,8,6,4,0,5
49,No,Research & Development,1,Male,Research Scientist,2,Married,5130,1,No,80,10,10,7,1,7
37,Yes,Research & Development,2,Male,Laboratory Technician,3,Single,2090,6,Yes,80,7,0,0,0,0
33,No,Research & Development,4,Female,Research Scientist,3,Married,2909,1,Yes,80,8,8,7,3,0
27,No,Research & Development,1,Male,Laboratory Technician,2,Married,3468,9,No,80,6,2,2,2,2
32,No,Research & Development,2,Male,Laboratory Technician,4,Single,3068,0,No,80,8,7,7,3,6
59,No,Research & Development,3,Female,Laboratory Technician,1,Married,2670,4,Yes,80,12,1,0,0,0
30,No,Research & Development,1,Male,Laboratory Technician,3,Divorced,2693,1,No,80,1,1,0,0,0
38,No,Research & Development,3,Male,Manufacturing Director,3,Single,9526,0,No,80,10,9,7,1,8
36,No,Research & Development,3,Male,Healthcare Representative,3,Married,5237,6,No,80,17,7,7,7,7
35,No,Research & Development,3,Male,Laboratory Technician,2,Married,2426,0,No,80,6,5,4,0,3
29,No,Research & Development,2,Female,Laboratory Technician,3,Single,4193,0,Yes,80,10,9,5,0,8
31,No,Research & Development,1,Male,Research Scientist,3,Divorced,2911,1,No,80,5,5,2,4,3
34,No,Research & Development,2,Male,Laboratory Technician,4,Divorced,2661,0,No,80,3,2,2,1,2
28,Yes,Research & Development,3,Male,Laboratory Technician,3,Single,2028,5,Yes,80,6,4,2,0,3
29,No,Research & Development,4,Female,Manufacturing Director,1,Divorced,9980,1,No,80,10,10,9,8,8
32,No,Research & Development,2,Male,Research Scientist,2,Divorced,3298,0,Yes,80,7,6,2,0,5
22,No,Research & Development,2,Male,Laboratory Technician,4,Divorced,2935,1,Yes,80,1,1,0,0,0
53,No,Sales,4,Female,Manager,4,Married,15427,2,No,80,31,25,8,3,7
38,No,Research & Development,3,Male,Research Scientist,4,Single,3944,5,Yes,80,6,3,2,1,2
24,No,Research & Development,2,Female,Manufacturing Director,3,Divorced,4011,0,No,80,5,4,2,1,3
36,Yes,Sales,4,Male,Sales Representative,1,Single,3407,7,No,80,10,5,3,0,3
34,No,Research & Development,4,Female,Research Director,2,Single,11994,0,No,80,13,12,6,2,11
21,No,Research & Development,2,Male,Research Scientist,4,Single,1232,1,No,80,0,0,0,0,0
34,Yes,Research & Development,1,Male,Research Scientist,1,Single,2960,2,No,80,8,4,2,1,3
53,No,Research & Development,3,Female,Manager,3,Divorced,19094,4,No,80,26,14,13,4,8
32,Yes,Research & Development,1,Female,Research Scientist,1,Single,3919,1,Yes,80,10,10,2,6,7
42,No,Sales,4,Male,Sales Executive,2,Married,6825,0,No,80,10,9,7,4,2
44,No,Research & Development,4,Female,Healthcare Representative,4,Married,10248,3,No,80,24,22,6,5,17
46,No,Sales,4,Female,Manager,1,Single,18947,3,No,80,22,2,2,2,1
33,No,Research & Development,3,Male,Laboratory Technician,4,Single,2496,4,No,80,7,1,1,0,0
44,No,Research & Development,4,Male,Healthcare Representative,4,Married,6465,2,Yes,80,9,4,2,1,3
30,No,Research & Development,2,Male,Laboratory Technician,3,Single,2206,1,No,80,10,10,0,1,8
39,Yes,Sales,3,Male,Sales Representative,4,Married,2086,3,No,80,19,1,0,0,0
24,Yes,Research & Development,3,Male,Research Scientist,4,Married,2293,2,Yes,80,6,2,0,2,0
43,No,Research & Development,2,Female,Research Scientist,3,Divorced,2645,1,No,80,6,5,3,1,4
50,Yes,Sales,2,Male,Sales Representative,3,Married,2683,1,Yes,80,3,3,2,0,2
35,No,Sales,3,Female,Sales Representative,4,Married,2014,1,No,80,2,2,2,2,2
36,No,Research & Development,4,Female,Research Scientist,1,Married,3419,9,Yes,80,6,1,1,0,0
33,No,Sales,3,Female,Sales Executive,1,Married,5376,2,No,80,10,5,3,1,3
35,No,Research & Development,2,Male,Laboratory Technician,4,Divorced,1951,1,No,80,1,1,0,0,0
27,No,Research & Development,4,Female,Laboratory Technician,1,Divorced,2341,1,No,80,1,1,0,0,0
26,Yes,Research & Development,3,Male,Laboratory Technician,3,Single,2293,1,No,80,1,1,0,0,1
27,No,Sales,3,Male,Sales Executive,3,Single,8726,1,No,80,9,9,8,1,7
30,No,Research & Development,2,Female,Laboratory Technician,4,Single,4011,1,No,80,12,12,8,3,7
41,Yes,Research & Development,3,Female,Research Director,3,Married,19545,1,No,80,23,22,15,15,8
34,No,Sales,4,Male,Sales Executive,3,Single,4568,0,No,80,10,9,5,8,7
37,No,Research & Development,2,Male,Research Scientist,2,Married,3022,4,No,80,8,1,0,0,0
46,No,Sales,4,Male,Sales Executive,4,Single,5772,4,Yes,80,14,9,6,0,8
35,No,Research & Development,1,Male,Laboratory Technician,4,Married,2269,1,No,80,1,1,0,0,1
48,Yes,Research & Development,2,Male,Laboratory Technician,3,Single,5381,9,Yes,80,23,1,0,0,0
28,Yes,Research & Development,4,Male,Laboratory Technician,3,Single,3441,1,Yes,80,2,2,2,2,2
44,No,Sales,5,Female,Sales Executive,1,Divorced,5454,5,Yes,80,9,4,3,1,3
35,No,Research & Development,2,Male,Healthcare Representative,1,Married,9884,2,Yes,80,10,4,0,2,3
26,No,Sales,3,Female,Sales Executive,4,Married,4157,7,Yes,80,5,2,2,0,0
33,No,Research & Development,2,Female,Research Director,4,Single,13458,1,Yes,80,15,15,14,8,12
35,No,Sales,5,Male,Sales Executive,1,Married,9069,1,No,80,9,9,8,1,8
35,No,Research & Development,4,Female,Laboratory Technician,1,Married,4014,3,Yes,80,4,2,2,2,2
31,No,Research & Development,4,Male,Laboratory Technician,4,Divorced,5915,3,No,80,10,7,7,1,7
37,No,Research & Development,4,Male,Manufacturing Director,3,Divorced,5993,1,No,80,7,7,5,0,7
32,No,Research & Development,3,Male,Manufacturing Director,4,Married,6162,1,Yes,80,9,9,8,7,8
38,No,Research & Development,5,Female,Laboratory Technician,4,Single,2406,1,No,80,10,10,3,9,9
50,No,Research & Development,2,Female,Research Director,3,Divorced,18740,5,Yes,80,29,27,3,13,8
59,No,Sales,3,Female,Sales Executive,1,Single,7637,7,No,80,28,21,16,7,9
36,No,Research & Development,3,Female,Healthcare Representative,3,Divorced,10096,1,No,80,17,17,14,12,8
55,No,Research & Development,3,Female,Manager,3,Divorced,14756,2,Yes,80,21,5,0,0,2
36,No,Research & Development,3,Male,Manufacturing Director,2,Single,6499,1,No,80,6,6,5,0,3
45,No,Research & Development,3,Male,Research Scientist,1,Divorced,9724,2,No,80,25,1,0,0,0
35,No,Research & Development,3,Male,Research Scientist,1,Married,2194,4,No,80,5,3,2,1,2
36,Yes,Research & Development,3,Male,Research Scientist,3,Married,3388,0,Yes,80,2,1,0,0,0
59,No,Sales,1,Female,Sales Executive,3,Single,5473,7,No,80,20,4,3,1,3
29,No,Research & Development,3,Male,Research Scientist,2,Married,2703,0,No,80,6,5,4,0,4
31,No,Research & Development,4,Male,Research Scientist,2,Single,2501,1,No,80,1,1,1,1,0
32,No,Research & Development,3,Male,Research Scientist,2,Married,6220,1,No,80,10,10,4,0,9
36,No,Research & Development,3,Female,Laboratory Technician,4,Married,3038,3,No,80,5,1,0,0,0
31,No,Research & Development,4,Female,Manufacturing Director,4,Single,4424,1,No,80,11,11,7,1,8
35,No,Sales,4,Male,Sales Executive,1,Single,4312,0,No,80,16,15,13,2,8
45,No,Research & Development,4,Male,Research Director,1,Married,13245,4,Yes,80,17,0,0,0,0
37,No,Research & Development,4,Male,Research Director,3,Single,13664,4,No,80,16,5,2,0,2
46,No,Human Resources,2,Male,Human Resources,2,Divorced,5021,8,Yes,80,16,4,2,0,2
30,No,Research & Development,1,Male,Laboratory Technician,4,Married,5126,1,Yes,80,10,10,8,3,0
35,No,Research & Development,3,Male,Research Scientist,3,Single,2859,1,No,80,6,6,4,0,4
55,No,Sales,2,Male,Sales Executive,4,Married,10239,3,No,80,24,1,0,1,0
38,No,Research & Development,3,Female,Research Scientist,4,Divorced,5329,7,Yes,80,17,13,11,1,9
34,No,Research & Development,2,Male,Manufacturing Director,2,Married,4325,1,No,80,5,5,2,1,3
56,No,Research & Development,3,Male,Manufacturing Director,4,Single,7260,4,No,80,37,6,4,0,2
23,No,Sales,1,Male,Sales Representative,1,Divorced,2322,3,No,80,3,0,0,0,0
51,No,Research & Development,4,Male,Laboratory Technician,4,Married,2075,3,No,80,10,4,2,0,3
30,No,Research & Development,3,Male,Healthcare Representative,4,Married,4152,1,No,80,11,11,10,10,8
46,Yes,Sales,2,Male,Sales Executive,4,Single,9619,1,No,80,9,9,8,4,7
40,No,Research & Development,4,Male,Healthcare Representative,2,Married,13503,1,No,80,22,22,3,11,11
51,No,Sales,4,Male,Sales Executive,4,Single,5441,0,Yes,80,11,10,7,1,0
30,No,Sales,2,Female,Sales Executive,2,Divorced,5209,1,Yes,80,11,11,8,2,7
46,No,Research & Development,3,Male,Healthcare Representative,1,Married,10673,2,Yes,80,21,10,9,9,5
32,No,Sales,4,Male,Sales Executive,3,Single,5010,1,No,80,12,11,8,5,7
54,No,Research & Development,4,Female,Research Director,3,Married,13549,9,No,80,16,4,3,0,3
24,No,Sales,2,Female,Sales Executive,3,Married,4999,0,No,80,4,3,2,0,2
28,No,Sales,3,Male,Sales Executive,3,Married,4221,1,No,80,5,5,4,0,4
58,No,Sales,4,Male,Sales Executive,3,Single,13872,0,No,80,38,37,10,1,8
44,No,Research & Development,3,Male,Laboratory Technician,2,Married,2042,4,No,80,17,3,2,1,2
37,Yes,Human Resources,4,Male,Human Resources,1,Divorced,2073,4,Yes,80,7,3,2,0,2
32,No,Research & Development,1,Male,Research Scientist,1,Single,2956,1,No,80,1,1,0,0,0
20,Yes,Research & Development,3,Female,Laboratory Technician,4,Single,2926,1,Yes,80,1,1,0,1,0
34,No,Research & Development,4,Female,Research Scientist,3,Single,4809,1,No,80,16,16,13,2,10
37,No,Research & Development,2,Male,Healthcare Representative,4,Divorced,5163,5,No,80,17,1,0,0,0
59,No,Human Resources,4,Female,Manager,4,Married,18844,9,No,80,30,3,2,2,2
50,No,Research & Development,3,Female,Research Director,2,Married,18172,3,Yes,80,28,8,3,0,7
25,Yes,Sales,3,Male,Sales Executive,3,Single,5744,1,Yes,80,6,6,4,0,3
25,No,Research & Development,1,Male,Research Scientist,4,Married,2889,1,No,80,2,2,2,2,1
22,No,Research & Development,3,Female,Laboratory Technician,4,Single,2871,1,No,80,1,0,0,0,0
51,No,Research & Development,4,Female,Healthcare Representative,1,Single,7484,3,No,80,23,13,12,12,8
34,Yes,Research & Development,3,Male,Laboratory Technician,3,Single,6074,1,Yes,80,9,9,7,0,6
54,No,Human Resources,3,Female,Manager,4,Single,17328,2,Yes,80,23,5,3,4,4
24,No,Research & Development,1,Male,Laboratory Technician,3,Married,2774,0,No,80,6,5,3,1,2
34,No,Research & Development,4,Female,Research Scientist,2,Divorced,4505,6,No,80,12,1,0,0,0
37,No,Sales,3,Male,Sales Executive,4,Single,7428,2,No,80,12,5,3,1,3
34,No,Research & Development,3,Female,Manager,1,Single,11631,2,No,80,14,11,10,5,8
36,No,Sales,2,Female,Sales Executive,4,Married,9738,0,No,80,10,9,7,2,8
36,No,Research & Development,2,Female,Laboratory Technician,4,Divorced,2835,5,No,80,7,1,0,0,0
43,No,Sales,2,Male,Manager,4,Married,16959,1,Yes,80,25,25,12,4,12
30,No,Research & Development,3,Male,Research Scientist,3,Divorced,2613,1,No,80,10,10,7,0,9
33,No,Sales,2,Male,Sales Executive,2,Married,6146,0,No,80,8,7,7,0,7
56,Yes,Research & Development,4,Female,Research Scientist,2,Married,4963,9,Yes,80,7,5,4,4,3
51,No,Research & Development,3,Male,Research Director,3,Single,19537,7,No,80,23,20,18,15,15
31,Yes,Sales,4,Male,Sales Executive,3,Married,6172,4,Yes,80,12,7,7,7,7
26,No,Research & Development,3,Female,Research Scientist,2,Married,2368,1,No,80,5,5,4,4,3
58,Yes,Research & Development,4,Female,Healthcare Representative,4,Married,10312,1,No,80,40,40,10,15,6
19,Yes,Sales,1,Male,Sales Representative,3,Single,1675,1,Yes,80,0,0,0,0,0
22,No,Research & Development,1,Male,Laboratory Technician,4,Married,2523,0,No,80,3,2,1,2,1
49,No,Research & Development,4,Female,Manufacturing Director,1,Married,6567,1,No,80,16,15,11,5,11
43,No,Research & Development,3,Female,Research Scientist,3,Single,4739,4,No,80,18,3,2,1,2
50,No,Sales,3,Female,Sales Executive,4,Single,9208,4,No,80,16,2,2,2,1
31,Yes,Sales,3,Female,Sales Executive,3,Married,4559,3,Yes,80,4,2,2,2,2
41,No,Sales,1,Male,Sales Executive,3,Divorced,8189,3,Yes,80,12,9,7,0,7
26,No,Human Resources,1,Female,Human Resources,3,Married,2942,1,No,80,8,8,7,5,7
36,No,Research & Development,2,Male,Manufacturing Director,2,Divorced,4941,6,No,80,7,3,2,0,1
51,Yes,Research & Development,4,Male,Manufacturing Director,4,Single,10650,2,No,80,18,4,2,0,3
39,No,Sales,4,Female,Sales Executive,3,Married,5902,4,No,80,17,15,11,5,9
25,No,Sales,3,Male,Sales Executive,3,Married,8639,2,No,80,6,2,2,2,2
30,No,Human Resources,3,Male,Human Resources,4,Married,6347,0,Yes,80,12,11,9,4,7
32,Yes,Research & Development,3,Female,Laboratory Technician,1,Single,4200,7,No,80,10,5,4,0,4
45,No,Research & Development,3,Male,Research Scientist,4,Single,3452,5,No,80,9,6,5,0,3
38,No,Research & Development,5,Female,Research Scientist,3,Single,4317,3,Yes,80,19,3,2,2,2
30,No,Research & Development,3,Female,Research Scientist,3,Single,2632,1,No,80,5,5,4,0,4
32,No,Sales,2,Male,Sales Executive,4,Divorced,4668,0,No,80,9,8,7,0,7
30,No,Research & Development,3,Female,Research Scientist,1,Divorced,3204,5,No,80,8,3,2,2,2
30,No,Research & Development,1,Male,Laboratory Technician,4,Single,2720,0,No,80,6,5,3,1,2
41,No,Research & Development,3,Male,Manager,1,Divorced,17181,4,No,80,21,7,6,7,7
41,No,Research & Development,4,Male,Laboratory Technician,1,Married,2238,2,No,80,7,5,0,1,4
19,No,Research & Development,1,Female,Laboratory Technician,2,Single,1483,1,No,80,1,1,0,0,0
40,No,Research & Development,3,Female,Research Scientist,2,Divorced,5605,1,No,80,20,20,7,2,13
35,No,Sales,5,Male,Sales Executive,2,Married,7295,1,No,80,10,10,8,0,6
53,No,Sales,2,Male,Sales Representative,3,Married,2306,2,Yes,80,13,7,7,4,5
45,No,Research & Development,3,Male,Laboratory Technician,2,Divorced,2348,8,No,80,20,17,9,0,15
32,No,Sales,3,Female,Sales Executive,4,Single,8998,1,No,80,9,9,8,3,7
29,No,Research & Development,1,Male,Manufacturing Director,3,Married,4319,1,No,80,10,10,7,0,9
51,No,Research & Development,4,Male,Manufacturing Director,3,Married,6132,2,No,80,10,1,0,0,0
58,No,Research & Development,3,Female,Research Scientist,2,Married,3346,4,Yes,80,9,1,0,0,0
40,No,Sales,4,Male,Sales Executive,4,Married,10855,7,No,80,15,12,11,2,11
34,No,Sales,4,Female,Sales Representative,3,Married,2231,6,No,80,6,4,3,1,2
22,No,Research & Development,1,Male,Research Scientist,4,Married,2323,1,No,80,2,2,2,2,2
27,No,Research & Development,3,Male,Research Scientist,2,Divorced,2024,6,No,80,6,2,2,2,2
28,No,Research & Development,3,Male,Research Scientist,4,Married,2713,1,No,80,5,5,2,0,2
57,No,Research & Development,2,Male,Healthcare Representative,4,Divorced,9439,3,Yes,80,12,5,3,1,4
27,No,Research & Development,3,Male,Research Scientist,3,Divorced,2566,1,Yes,80,1,1,1,0,1
50,No,Research & Development,3,Female,Manager,2,Single,19926,3,No,80,21,5,4,4,4
41,No,Research & Development,3,Male,Research Scientist,3,Divorced,2451,4,No,80,13,9,8,1,8
30,No,Sales,3,Female,Sales Executive,4,Married,9419,2,No,80,12,10,9,7,4
38,No,Sales,4,Female,Sales Executive,4,Single,8686,4,No,80,12,8,3,0,7
32,No,Research & Development,5,Male,Research Scientist,3,Single,3038,3,No,80,8,5,4,1,4
27,No,Research & Development,3,Male,Research Scientist,2,Married,3058,0,Yes,80,6,5,2,1,1
19,Yes,Sales,1,Female,Sales Representative,1,Single,2325,0,No,80,1,0,0,0,0
36,No,Research & Development,2,Male,Laboratory Technician,2,Single,2088,4,No,80,13,8,7,7,2
30,No,Research & Development,3,Male,Laboratory Technician,1,Divorced,3072,1,No,80,12,12,9,6,10
45,No,Sales,2,Female,Sales Executive,1,Divorced,5006,4,Yes,80,9,5,4,0,3
